51  37  (Number of Rows and Columns)
  mu_R\th   0.00     2.50     5.00     7.50    10.00    12.50    15.00    17.50    20.00    22.50    25.00    27.50    30.00    32.50    35.00    37.50    40.00    42.50    45.00    47.50    50.00    52.50    55.00    57.50    60.00    62.50    65.00    67.50    70.00    72.50    75.00    77.50    80.00    82.50    85.00    87.50    90.00  
   0.00   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000
   0.05   1.0777   1.0777   1.0777   1.0777   1.0777   1.0776   1.0776   1.0776   1.0776   1.0776   1.0775   1.0775   1.0775   1.0774   1.0774   1.0774   1.0773   1.0773   1.0772   1.0772   1.0771   1.0771   1.0770   1.0770   1.0769   1.0769   1.0769   1.0768   1.0768   1.0767   1.0767   1.0767   1.0767   1.0766   1.0766   1.0766   1.0766
   0.10   1.1610   1.1609   1.1609   1.1609   1.1609   1.1608   1.1607   1.1607   1.1606   1.1605   1.1603   1.1602   1.1601   1.1599   1.1597   1.1596   1.1594   1.1592   1.1590   1.1588   1.1586   1.1584   1.1582   1.1580   1.1578   1.1576   1.1574   1.1572   1.1571   1.1569   1.1568   1.1567   1.1566   1.1565   1.1564   1.1564   1.1564
   0.15   1.2502   1.2502   1.2501   1.2500   1.2499   1.2498   1.2496   1.2494   1.2492   1.2489   1.2487   1.2483   1.2480   1.2476   1.2472   1.2468   1.2464   1.2459   1.2454   1.2449   1.2445   1.2440   1.2435   1.2430   1.2425   1.2421   1.2416   1.2412   1.2409   1.2405   1.2402   1.2399   1.2397   1.2395   1.2394   1.2393   1.2393
   0.20   1.3457   1.3457   1.3456   1.3455   1.3453   1.3450   1.3447   1.3443   1.3439   1.3434   1.3428   1.3422   1.3415   1.3408   1.3400   1.3392   1.3384   1.3375   1.3367   1.3358   1.3348   1.3339   1.3330   1.3321   1.3312   1.3304   1.3296   1.3288   1.3281   1.3274   1.3268   1.3263   1.3259   1.3256   1.3253   1.3252   1.3251
   0.25   1.4480   1.4480   1.4478   1.4476   1.4472   1.4468   1.4462   1.4456   1.4448   1.4440   1.4430   1.4420   1.4409   1.4397   1.4384   1.4371   1.4357   1.4343   1.4328   1.4313   1.4298   1.4283   1.4267   1.4253   1.4238   1.4224   1.4211   1.4198   1.4187   1.4176   1.4167   1.4158   1.4151   1.4146   1.4142   1.4140   1.4139
   0.30   1.5574   1.5573   1.5571   1.5567   1.5562   1.5555   1.5546   1.5536   1.5524   1.5511   1.5497   1.5481   1.5463   1.5445   1.5425   1.5405   1.5384   1.5362   1.5339   1.5316   1.5293   1.5270   1.5247   1.5225   1.5203   1.5182   1.5162   1.5143   1.5126   1.5110   1.5096   1.5083   1.5073   1.5065   1.5059   1.5055   1.5054
   0.35   1.6744   1.6743   1.6739   1.6734   1.6726   1.6715   1.6703   1.6688   1.6671   1.6651   1.6630   1.6607   1.6581   1.6555   1.6526   1.6496   1.6466   1.6434   1.6401   1.6369   1.6336   1.6303   1.6270   1.6238   1.6207   1.6177   1.6149   1.6122   1.6097   1.6075   1.6054   1.6037   1.6022   1.6011   1.6002   1.5997   1.5995
   0.40   1.7994   1.7993   1.7988   1.7980   1.7968   1.7954   1.7936   1.7915   1.7890   1.7863   1.7833   1.7800   1.7765   1.7728   1.7688   1.7647   1.7604   1.7560   1.7515   1.7470   1.7425   1.7380   1.7335   1.7292   1.7249   1.7209   1.7170   1.7134   1.7100   1.7069   1.7042   1.7018   1.6998   1.6983   1.6971   1.6964   1.6962
   0.45   1.9330   1.9327   1.9321   1.9310   1.9294   1.9274   1.9249   1.9220   1.9187   1.9150   1.9109   1.9065   1.9017   1.8966   1.8913   1.8858   1.8800   1.8741   1.8682   1.8622   1.8561   1.8502   1.8443   1.8385   1.8329   1.8276   1.8225   1.8177   1.8133   1.8093   1.8057   1.8026   1.8000   1.7980   1.7965   1.7956   1.7953
   0.50   2.0755   2.0752   2.0743   2.0728   2.0707   2.0680   2.0648   2.0609   2.0565   2.0516   2.0461   2.0403   2.0340   2.0273   2.0203   2.0130   2.0055   1.9979   1.9901   1.9823   1.9745   1.9668   1.9592   1.9518   1.9447   1.9378   1.9313   1.9252   1.9196   1.9145   1.9099   1.9060   1.9027   1.9001   1.8982   1.8970   1.8966
   0.55   2.2276   2.2272   2.2260   2.2241   2.2213   2.2178   2.2135   2.2085   2.2027   2.1963   2.1893   2.1816   2.1735   2.1649   2.1559   2.1466   2.1370   2.1273   2.1174   2.1075   2.0977   2.0879   2.0784   2.0690   2.0601   2.0515   2.0433   2.0357   2.0287   2.0223   2.0166   2.0117   2.0076   2.0044   2.0020   2.0006   2.0001
   0.60   2.3898   2.3893   2.3878   2.3852   2.3817   2.3771   2.3716   2.3651   2.3578   2.3496   2.3406   2.3309   2.3206   2.3097   2.2983   2.2866   2.2746   2.2624   2.2501   2.2378   2.2255   2.2134   2.2016   2.1901   2.1791   2.1685   2.1585   2.1492   2.1406   2.1327   2.1258   2.1198   2.1148   2.1108   2.1079   2.1062   2.1056
   0.65   2.5626   2.5620   2.5601   2.5568   2.5523   2.5465   2.5395   2.5314   2.5221   2.5117   2.5004   2.4883   2.4754   2.4618   2.4477   2.4332   2.4183   2.4033   2.3881   2.3730   2.3581   2.3433   2.3289   2.3150   2.3016   2.2888   2.2767   2.2654   2.2550   2.2456   2.2373   2.2301   2.2240   2.2193   2.2158   2.2137   2.2130
   0.70   2.7467   2.7459   2.7435   2.7394   2.7337   2.7265   2.7177   2.7075   2.6959   2.6831   2.6691   2.6540   2.6381   2.6214   2.6041   2.5864   2.5683   2.5500   2.5316   2.5133   2.4953   2.4775   2.4603   2.4435   2.4275   2.4122   2.3978   2.3844   2.3721   2.3609   2.3510   2.3424   2.3352   2.3296   2.3255   2.3230   2.3222
   0.75   2.9427   2.9417   2.9386   2.9336   2.9265   2.9176   2.9067   2.8941   2.8798   2.8640   2.8468   2.8284   2.8090   2.7887   2.7678   2.7463   2.7245   2.7025   2.6805   2.6587   2.6371   2.6160   2.5955   2.5757   2.5567   2.5387   2.5218   2.5060   2.4915   2.4784   2.4667   2.4567   2.4483   2.4417   2.4369   2.4340   2.4330
   0.80   3.1512   3.1499   3.1462   3.1399   3.1313   3.1202   3.1069   3.0915   3.0740   3.0548   3.0339   3.0117   2.9882   2.9638   2.9387   2.9130   2.8870   2.8608   2.8348   2.8089   2.7835   2.7587   2.7346   2.7114   2.6892   2.6682   2.6484   2.6301   2.6132   2.5980   2.5845   2.5728   2.5631   2.5554   2.5499   2.5465   2.5454
   0.85   3.3728   3.3713   3.3667   3.3591   3.3485   3.3351   3.3189   3.3002   3.2791   3.2558   3.2307   3.2040   3.1760   3.1469   3.1170   3.0865   3.0558   3.0250   2.9944   2.9641   2.9344   2.9055   2.8775   2.8506   2.8249   2.8005   2.7777   2.7565   2.7371   2.7196   2.7041   2.6907   2.6795   2.6707   2.6644   2.6605   2.6592
   0.90   3.6083   3.6065   3.6009   3.5917   3.5789   3.5627   3.5431   3.5206   3.4953   3.4674   3.4375   3.4057   3.3724   3.3380   3.3028   3.2670   3.2310   3.1950   3.1593   3.1242   3.0898   3.0564   3.0240   2.9931   2.9635   2.9356   2.9095   2.8853   2.8631   2.8431   2.8255   2.8102   2.7975   2.7875   2.7802   2.7758   2.7744
   0.95   3.8584   3.8562   3.8495   3.8384   3.8230   3.8035   3.7801   3.7532   3.7230   3.6899   3.6544   3.6169   3.5777   3.5373   3.4961   3.4544   3.4125   3.3708   3.3296   3.2891   3.2495   3.2112   3.1742   3.1388   3.1051   3.0734   3.0437   3.0163   2.9911   2.9685   2.9485   2.9313   2.9169   2.9056   2.8974   2.8924   2.8907
   1.00   4.1239   4.1212   4.1132   4.0999   4.0815   4.0582   4.0304   3.9984   3.9626   3.9236   3.8818   3.8378   3.7920   3.7449   3.6970   3.6487   3.6003   3.5523   3.5050   3.4586   3.4135   3.3698   3.3278   3.2877   3.2496   3.2137   3.1803   3.1493   3.1210   3.0956   3.0731   3.0538   3.0377   3.0249   3.0157   3.0102   3.0083
   1.05   4.4054   4.4022   4.3927   4.3769   4.3550   4.3274   4.2945   4.2567   4.2146   4.1688   4.1199   4.0686   4.0154   3.9608   3.9055   3.8499   3.7945   3.7396   3.6856   3.6329   3.5817   3.5322   3.4848   3.4396   3.3968   3.3565   3.3190   3.2843   3.2527   3.2243   3.1992   3.1776   3.1597   3.1455   3.1352   3.1290   3.1269
   1.10   4.7038   4.7000   4.6887   4.6700   4.6442   4.6116   4.5728   4.5285   4.4792   4.4258   4.3689   4.3094   4.2479   4.1851   4.1217   4.0581   3.9948   3.9324   3.8713   3.8117   3.7539   3.6983   3.6451   3.5944   3.5466   3.5017   3.4598   3.4213   3.3861   3.3546   3.3267   3.3027   3.2828   3.2671   3.2557   3.2488   3.2465
