26  19  (Number of Rows and Columns)
  mu_R\th   0.00     5.00    10.00    15.00    20.00    25.00    30.00    35.00    40.00    45.00    50.00    55.00    60.00    65.00    70.00    75.00    80.00    85.00    90.00  
   0.00   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000
   0.10   1.1610   1.1609   1.1609   1.1607   1.1606   1.1603   1.1601   1.1597   1.1594   1.1590   1.1586   1.1582   1.1578   1.1574   1.1571   1.1568   1.1566   1.1564   1.1564
   0.20   1.3457   1.3456   1.3453   1.3447   1.3439   1.3428   1.3415   1.3400   1.3384   1.3367   1.3348   1.3330   1.3312   1.3296   1.3281   1.3268   1.3259   1.3253   1.3251
   0.30   1.5574   1.5571   1.5562   1.5546   1.5524   1.5497   1.5463   1.5425   1.5384   1.5339   1.5293   1.5247   1.5203   1.5162   1.5126   1.5096   1.5073   1.5059   1.5054
   0.40   1.7994   1.7988   1.7968   1.7936   1.7890   1.7833   1.7765   1.7688   1.7604   1.7515   1.7425   1.7335   1.7249   1.7170   1.7100   1.7042   1.6998   1.6971   1.6962
   0.50   2.0755   2.0743   2.0707   2.0648   2.0565   2.0461   2.0340   2.0203   2.0055   1.9901   1.9745   1.9592   1.9447   1.9313   1.9196   1.9099   1.9027   1.8982   1.8966
   0.60   2.3898   2.3878   2.3817   2.3716   2.3578   2.3406   2.3206   2.2983   2.2746   2.2501   2.2255   2.2016   2.1791   2.1585   2.1406   2.1258   2.1148   2.1079   2.1056
   0.70   2.7467   2.7435   2.7337   2.7177   2.6959   2.6691   2.6381   2.6041   2.5683   2.5316   2.4953   2.4603   2.4275   2.3978   2.3721   2.3510   2.3352   2.3255   2.3222
   0.80   3.1512   3.1462   3.1313   3.1069   3.0740   3.0339   2.9882   2.9387   2.8870   2.8348   2.7835   2.7346   2.6892   2.6484   2.6132   2.5845   2.5631   2.5499   2.5454
   0.90   3.6083   3.6009   3.5789   3.5431   3.4953   3.4375   3.3724   3.3028   3.2310   3.1593   3.0898   3.0240   2.9635   2.9095   2.8631   2.8255   2.7975   2.7802   2.7744
   1.00   4.1239   4.1132   4.0815   4.0304   3.9626   3.8818   3.7920   3.6970   3.6003   3.5050   3.4135   3.3278   3.2496   3.1803   3.1210   3.0731   3.0377   3.0157   3.0083
   1.10   4.7038   4.6887   4.6442   4.5728   4.4792   4.3689   4.2479   4.1217   3.9948   3.8713   3.7539   3.6451   3.5466   3.4598   3.3861   3.3267   3.2828   3.2557   3.2465
   1.20   5.3546   5.3337   5.2723   5.1746   5.0479   4.9006   4.7411   4.5769   4.4141   4.2575   4.1103   3.9751   3.8537   3.7475   3.6577   3.5855   3.5324   3.4995   3.4884
   1.30   6.0830   6.0545   5.9712   5.8399   5.6714   5.4782   5.2719   5.0625   4.8577   4.6628   4.4818   4.3170   4.1701   4.0424   3.9350   3.8490   3.7857   3.7467   3.7334
   1.40   6.8962   6.8579   6.7465   6.5726   6.3523   6.1030   5.8408   5.5783   5.3248   5.0866   4.8675   4.6698   4.4951   4.3440   4.2175   4.1165   4.0424   3.9966   3.9811
   1.50   7.8017   7.7510   7.6041   7.3769   7.0928   6.7760   6.4476   6.1235   5.8147   5.5277   5.2665   5.0330   4.8279   4.6516   4.5047   4.3877   4.3019   4.2490   4.2311
   1.60   8.8075   8.7410   8.5495   8.2565   7.8949   7.4977   7.0922   6.6976   6.3263   5.9854   5.6780   5.4055   5.1678   4.9647   4.7960   4.6621   4.5639   4.5035   4.4830
   1.70   9.9216   9.8354   9.5886   9.2150   8.7604   8.2686   7.7740   7.2996   6.8588   6.4585   6.1011   5.7867   5.5143   5.2827   5.0910   4.9392   4.8282   4.7598   4.7365
   1.80  11.1527  11.0420  10.7269  10.2556   9.6904   9.0885   8.4923   7.9284   7.4111   6.9463   6.5350   6.1759   5.8667   5.6051   5.3894   5.2189   5.0944   5.0176   4.9915
   1.90  12.5094  12.3685  11.9702  11.3814  10.6860   9.9572   9.2462   8.5831   7.9820   7.4475   6.9788   6.5724   6.2246   5.9316   5.6908   5.5009   5.3622   5.2768   5.2477
   2.00  14.0007  13.8229  13.3236  12.5951  11.7478  10.8741  10.0347   9.2623   8.5705   7.9615   7.4317   6.9757   6.5874   6.2617   5.9948   5.7848   5.6316   5.5372   5.5050
   2.10  15.6357  15.4131  14.7925  13.8988  12.8760  11.8383  10.8564   9.9650   9.1755   8.4871   7.8931   7.3850   6.9546   6.5951   6.3014   6.0706   5.9023   5.7985   5.7632
   2.20  17.4239  17.1471  16.3818  15.2946  14.0705  12.8489  11.7102  10.6897   9.7960   9.0237   8.3623   7.8000   7.3260   6.9315   6.6101   6.3579   6.1741   6.0608   6.0221
   2.30  19.3745  19.0328  18.0959  16.7838  15.3308  13.9045  12.5945  11.4353  10.4308   9.5704   8.8387   8.2202   7.7012   7.2707   6.9208   6.6467   6.4471   6.3239   6.2818
   2.40  21.4972  21.0782  19.9392  18.3674  16.6562  15.0037  13.5079  12.2006  11.0790  10.1263   9.3216   8.6450   8.0797   7.6124   7.2333   6.9368   6.7209   6.5877   6.5421
   2.50  23.8015  23.2910  21.9156  20.0462  18.0456  16.1450  14.4490  12.9842  11.7397  10.6909   9.8106   9.0742   8.4614   7.9563   7.5475   7.2281   6.9956   6.8520   6.8029

